iter	Passed	Remaining
0	3	329
1	6	307
2	9	294
3	11	269
4	14	272
5	17	268
6	20	266
7	22	263
8	25	260
9	28	257
10	31	254
11	34	251
12	37	248
13	39	245
14	42	241
15	44	231
16	45	223
17	47	216
18	49	209
19	50	202
20	52	196
21	53	191
22	55	186
23	57	181
24	59	177
25	60	172
26	62	169
27	64	165
28	66	161
29	67	157
30	69	154
31	70	150
32	74	151
33	77	151
34	80	149
35	81	145
36	83	141
37	84	138
38	86	136
39	88	132
40	89	129
41	90	124
42	91	121
43	92	118
44	94	115
45	95	112
46	96	109
47	98	106
48	99	103
49	101	101
50	102	98
51	103	95
52	105	93
53	106	90
54	107	87
55	110	86
56	111	84
57	112	81
58	114	79
59	115	77
60	117	74
61	118	72
62	119	70
63	121	68
64	122	65
65	123	63
66	125	61
67	126	59
68	127	57
69	129	55
70	131	53
71	134	52
72	135	50
73	136	48
74	138	46
75	139	44
76	140	42
77	142	40
78	143	38
79	145	36
80	146	34
81	147	32
82	149	30
83	150	28
84	151	26
85	153	24
86	154	23
87	155	21
88	157	19
89	158	17
90	159	15
91	161	14
92	162	12
93	163	10
94	165	8
95	166	6
96	168	5
97	169	3
98	170	1
99	172	0
